"","Datum","Factuurnr.","Taak","Eind","Resource"
"344",2018-03-16,"I1800258","Inkoopfactuur <= 5.000",2018-03-20 08:33:14,"abdc6e9dade886e0d35ceab9951ebeda"
"345",2018-03-16,"I1800259","Inkoopfactuur <= 5.000",2018-03-20 08:39:30,"abdc6e9dade886e0d35ceab9951ebeda"
"346",2018-03-16,"I1800260","Inkoopfactuur <= 5.000",2018-03-20 08:40:50,"abdc6e9dade886e0d35ceab9951ebeda"
"347",2018-03-16,"I1800261","Inkoopfactuur <= 5.000",2018-03-20 08:41:40,"abdc6e9dade886e0d35ceab9951ebeda"
"348",2018-03-16,"I1800262","Inkoopfactuur <= 5.000",2018-03-20 08:44:29,"abdc6e9dade886e0d35ceab9951ebeda"
"349",2018-03-16,"I1800258","Accorderen inkoopfactuur",2018-04-05 12:51:38,"3f309e071cff9027995b0b80691d6369"
"350",2018-03-16,"I1800256","Accorderen inkoopfactuur",2018-03-22 06:40:40,"3f309e071cff9027995b0b80691d6369"
"351",2018-03-16,"I1800259","Accorderen inkoopfactuur",2018-03-22 06:40:49,"3f309e071cff9027995b0b80691d6369"
"352",2018-03-16,"I1800260","Accorderen inkoopfactuur",2018-03-22 06:40:59,"3f309e071cff9027995b0b80691d6369"
"353",2018-03-16,"I1800261","Accorderen inkoopfactuur",2018-03-22 06:41:09,"3f309e071cff9027995b0b80691d6369"
"354",2018-03-16,"I1800262","Accorderen inkoopfactuur",2018-03-22 06:41:26,"3f309e071cff9027995b0b80691d6369"
"355",2018-03-16,"I1800258","Beoordelen inkoopfactuur",2018-03-29 21:17:32,"99fcb711c97118db437f1ee4296b83e9"
"356",2018-03-16,"I1800256","Beoordelen inkoopfactuur",2018-03-20 20:51:27,"2bdc2f5d286fc7d297896e561064a593"
"357",2018-03-16,"I1800258","Beoordelen inkoopfactuur",2018-03-20 20:52:19,"2bdc2f5d286fc7d297896e561064a593"
"358",2018-03-16,"I1800259","Beoordelen inkoopfactuur",2018-03-20 20:52:29,"2bdc2f5d286fc7d297896e561064a593"
"359",2018-03-16,"I1800260","Beoordelen inkoopfactuur",2018-03-20 20:52:45,"2bdc2f5d286fc7d297896e561064a593"
"360",2018-03-16,"I1800261","Beoordelen inkoopfactuur",2018-03-20 20:53:07,"2bdc2f5d286fc7d297896e561064a593"
"361",2018-03-16,"I1800262","Beoordelen inkoopfactuur",2018-03-20 20:53:19,"2bdc2f5d286fc7d297896e561064a593"
"362",2018-03-16,"I1800298","Inkoopfactuur <= 5.000",2018-03-29 15:57:10,"abdc6e9dade886e0d35ceab9951ebeda"
"363",2018-03-16,"I1800298","Beoordelen inkoopfactuur",2018-04-03 09:47:24,"ce89fe3400440ded691ebea966fbf59a"
"364",2018-03-16,"I1800298","Accorderen inkoopfactuur",2018-04-05 12:39:09,"3f309e071cff9027995b0b80691d6369"
"365",2018-03-23,"I1800296","Inkoopfactuur <= 5.000",2018-03-29 15:54:52,"abdc6e9dade886e0d35ceab9951ebeda"
"366",2018-03-23,"I1800296","Beoordelen inkoopfactuur",2018-03-30 11:44:04,"077105d56ec3db5318815244824f663b"
"367",2018-03-23,"I1800296","Accorderen inkoopfactuur",2018-04-05 12:38:00,"3f309e071cff9027995b0b80691d6369"
"368",2018-02-09,"I1800217","Accorderen inkoopfactuur",2018-03-13 11:09:23,"3f309e071cff9027995b0b80691d6369"
"369",2018-02-09,"I1800217","Inkoopfactuur <= 5.000",2018-03-08 08:21:13,"abdc6e9dade886e0d35ceab9951ebeda"
"370",2018-02-09,"I1800217","Beoordelen inkoopfactuur",2018-03-12 17:43:49,"077105d56ec3db5318815244824f663b"
"371",2018-04-05,"I1800336","Inkoopfactuur <= 5.000",2018-04-09 14:17:53,"abdc6e9dade886e0d35ceab9951ebeda"
"372",2018-04-05,"I1800336","Beoordelen inkoopfactuur",2018-04-13 19:24:31,"077105d56ec3db5318815244824f663b"
"373",2018-04-05,"I1800336","Accorderen inkoopfactuur",2018-04-16 14:20:19,"3f309e071cff9027995b0b80691d6369"
"374",2018-04-09,"I1800362","Inkoopfactuur <= 5.000",2018-04-16 13:18:29,"abdc6e9dade886e0d35ceab9951ebeda"
"375",2018-04-09,"I1800362","Beoordelen inkoopfactuur",2018-04-18 10:34:27,"1c304646d1d8a68599d27396fff3cb65"
"376",2018-04-09,"I1800362","Accorderen inkoopfactuur",2018-04-30 10:40:13,"3f309e071cff9027995b0b80691d6369"
"377",2018-04-09,"I1800362","Accorderen inkoopfactuur",2018-05-07 13:28:12,"abdc6e9dade886e0d35ceab9951ebeda"
"378",2018-04-09,"I1800362","Accorderen inkoopfactuur",2018-05-07 16:00:56,"3f309e071cff9027995b0b80691d6369"
"379",2018-04-02,"I1800312","Inkoopfactuur <= 5.000",2018-04-09 08:09:41,"abdc6e9dade886e0d35ceab9951ebeda"
"380",2018-04-02,"I1800312","Beoordelen inkoopfactuur",2018-04-09 14:55:30,"3f309e071cff9027995b0b80691d6369"
"381",2018-04-02,"I1800312","Accorderen inkoopfactuur",2018-04-09 14:55:36,"3f309e071cff9027995b0b80691d6369"
"382",2018-03-15,"I1800274","Inkoopfactuur <= 5.000",2018-03-20 10:02:26,"abdc6e9dade886e0d35ceab9951ebeda"
"383",2018-03-15,"I1800274","Beoordelen inkoopfactuur",2018-03-22 12:22:28,"ae16f6dd57a3df272fd619111c714ba5"
"384",2018-03-15,"I1800274","Accorderen inkoopfactuur",2018-03-27 08:16:33,"3f309e071cff9027995b0b80691d6369"
"385",2018-01-01,"I1800330","Beoordelen inkoopfactuur",2018-04-10 08:28:05,"abdc6e9dade886e0d35ceab9951ebeda"
"386",2018-01-01,"I1800330","Actie nav afkeuren inkoopfactuur",2018-04-10 08:28:12,"abdc6e9dade886e0d35ceab9951ebeda"
"387",2018-01-01,"I1800330","Inkoopfactuur <= 5.000",2018-04-09 08:46:10,"abdc6e9dade886e0d35ceab9951ebeda"
"388",2018-02-28,"I1800219","Accorderen inkoopfactuur",2018-03-13 11:09:13,"3f309e071cff9027995b0b80691d6369"
"389",2018-02-28,"I1800219","Inkoopfactuur <= 5.000",2018-03-08 08:30:22,"abdc6e9dade886e0d35ceab9951ebeda"
"390",2018-02-28,"I1800219","Beoordelen inkoopfactuur",2018-03-12 17:44:04,"077105d56ec3db5318815244824f663b"
"391",2018-04-06,"I1800355","Inkoopfactuur <= 5.000",2018-04-12 15:09:23,"abdc6e9dade886e0d35ceab9951ebeda"
"392",2018-04-06,"I1800355","Beoordelen inkoopfactuur",2018-04-13 10:05:48,"ce89fe3400440ded691ebea966fbf59a"
